why_1,1
why_1,[EMOJI]smart.png
why_1,[EMOJI]gif4.gif
why_1,[EMOJI]gif4.gif
why_1,[EMOJI]smart.png
why_1,[EMOJI]facepalm.png
why_1,[EMOJI]gif4.gif
why,1
why_1,[EMOJI]smirk.png
why,1
why_1,2
why_1,[EMOJI]smirk.png
why_1,[EMOJI]gif4.gif
why_1,[EMOJI]gif4.gif
why,[EMOJI]smart.png
why,[EMOJI]image_emoticon6.png
why,[EMOJI]image_emoticon6.png
why,[EMOJI]gif4.gif
why_1,[EMOJI]image_emoticon19.png
why,[EMOJI]gif4.gif
why_1,[EMOJI]image_emoticon31.png
why_1,诶呀
why_1,弄得差不多了
why,但是文件还不能下载，语音也打不通
why_1,[EMOJI]image_emoticon19.png
why_1,1
why,[EMOJI]gif2.gif
why,1
why,2
why,[EMOJI]image_emoticon19.png
why,[EMOJI]image_emoticon19.png
